Locale ID,Sectie Naam,Type Fiets,Capaciteit,Telsysteem
1,Stalling_1,Normale Fiets,38,No
1,Stalling_2,Normale Fiets,25,No
1,Stalling_Tunnel,Bakfiets,16,No
1,Stalling_Tunnel,Normale Fiets,177,No
1,Stalling_4,Normale Fiets,72,No
2,Stalling,Normale Fiets,35,No
3,Stalling,Normale Fiets,20,No
4,Stalling_1,Normale Fiets,10,No
4,Stalling_2,Normale Fiets,10,No
4,Stalling_3,Normale Fiets,14,No
4,Stalling_4,Normale Fiets,8,No
5,Stalling_1,Normale Fiets,40,No
5,Stalling_2,Normale Fiets,40,No
6,Stalling,Normale Fiets,28,No
7,Stalling,Normale Fiets,5,No
8,Stalling,Normale Fiets,8,No
9,Stalling,Normale Fiets,17,No
10,Stalling_1,Normale Fiets,6,No
10,Stalling_2,Normale Fiets,13,No
11,Stalling,Normale Fiets,12,No
12,Stalling,Normale Fiets,15,No
13,Stalling,Normale Fiets,16,No
14,Stalling_1,Normale Fiets,16,No
14,Stalling_2,Normale Fiets,80,No
14,Stalling_3,Normale Fiets,60,No
15,Stalling_1,Normale Fiets,8,No
15,Stalling_2,Normale Fiets,8,No
16,Stalling_1,Normale Fiets,6,No
16,Stalling_2,Normale Fiets,6,No
17,Stalling,Normale Fiets,8,No
18,Stalling,Normale Fiets,24,No
19,Stalling_1,Normale Fiets,15,No
19,Stalling_2,Normale Fiets,9,No
19,Stalling_3,Normale Fiets,18,No
19,Stalling_4,Normale Fiets,24,No
19,Stalling_5,Normale Fiets,11,No
20,Stalling_1,Normale Fiets,20,No
20,Stalling_2,Normale Fiets,24,No
21,Stalling_1,Normale Fiets,8,No
21,Stalling_2,Normale Fiets,10,No
22,Stalling,Normale Fiets,40,No
23,Stalling_1,Normale Fiets,12,No
23,Stalling_2,Normale Fiets,12,No
23,Stalling_3,Normale Fiets,16,No
24,Stalling_1,Normale Fiets,14,No
24,Stalling_2,Normale Fiets,16,No
24,Mobipunt Deinze,Normale Fiets,72,No
24,Mobipunt Deinze,Elektrische fiets,12,No
25,Stalling,Normale Fiets,40,No
25,Stalling,Bakfiets,2,No
26,Stalling,Normale Fiets,9,No
27,Stalling_1,Normale Fiets,14,No
27,Stalling_2,Normale Fiets,8,No
28,Stalling,Normale Fiets,14,No
29,Stalling_1,Normale Fiets,12,No
29,Stalling_2,Normale Fiets,10,No
29,Stalling_3,Normale Fiets,24,No
30,Stalling_1,Normale Fiets,8,No
30,Stalling_2,Normale Fiets,26,No
31,Stalling_1,Normale Fiets,432,No
31,Stalling_2,Normale Fiets,26,No
31,Stalling_3,Bakfiets,15,No
31,Stalling_4,Normale Fiets,936,No
32,Stalling_1,Normale Fiets,30,No
32,Stalling_2,Normale Fiets,30,No
32,Stalling_3,Normale Fiets,23,No
33,Stalling_1,Normale Fiets,8,No
33,Stalling_2,Normale Fiets,8,No
34,Stalling,Normale Fiets,48,No
34,Stalling,Elektrische fiets,24,No
