Locale ID,Sectie Naam,Overdekt,Type Parking,Aantal verdiepingen,Publiek toegankelijk,Maximale parkeertijd (dagen),Doelpubliek,Beperkingen,Voorwaarden voor verwijdering,Actie na verwijdering,Openingstijden,Extra Informatie,Link Kostenbeschrijving,Beschrijving,Tijdseenheid
1,Stalling_1,NEE,Fietsbeugel,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
1,Stalling_2,NEE,Fietsbeugel,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
1,Stalling_Tunnel,JA,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
1,Stalling_4,NEE,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
2,Stalling,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
3,Stalling,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
4,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
4,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
4,Stalling_3,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
4,Stalling_4,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
5,Stalling_1,JA,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
5,Stalling_2,JA,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
6,Stalling,JA,Fietsbeugel,1,Yes,,Carpoolers,,,,Open 24/7,,,,
7,Stalling,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
8,Stalling,JA,Openbare Fietsenstalling,1,Yes,,Pendelaars,,,,Open 24/7,,,,
9,Stalling,JA,Fietsbeugel,1,Yes,,Pendelaars,,,,Open 24/7,,,,
10,Stalling_1,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
10,Stalling_2,JA,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
11,Stalling,JA,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
12,Stalling,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
13,Stalling,JA,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
14,Stalling_1,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
14,Stalling_2,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
14,Stalling_3,JA,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
15,Stalling_1,JA,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
15,Stalling_2,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
16,Stalling_1,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
16,Stalling_2,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
17,Stalling,NEE,Fietsbeugel,1,Yes,,Iedereen,,,,Open 24/7,,,,
18,Stalling,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
19,Stalling_1,NEE,Fietsbeugel,1,Yes,,Bezoekers,,,,Open 24/7,,,,
19,Stalling_2,NEE,Fietsbeugel,1,Yes,,Bezoekers,,,,Open 24/7,,,,
19,Stalling_3,JA,Fietsbeugel,1,Yes,,Bezoekers,,,,Open 24/7,,,,
19,Stalling_4,JA,Openbare Fietsenstalling,1,Yes,,Bezoekers,,,,Open 24/7,,,,
19,Stalling_5,NEE,Fietsbeugel,1,Yes,,Bezoekers,,,,Open 24/7,,,,
20,Stalling_1,JA,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
20,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
21,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
21,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
22,Stalling,JA,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
23,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
23,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
23,Stalling_3,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
24,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
24,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
24,Mobipunt Deinze,JA,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
25,Stalling,NEE,Openbare Fietsenstalling,1,Yes,,Bezoekers,,,,Open 24/7,,,,
26,Stalling,NEE,Fietsbeugel,1,Yes,,Bezoekers,,,,Open 24/7,,,,
27,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Bezoekers,,,,Open 24/7,,,,
27,Stalling_2,NEE,Fietsbeugel,1,Yes,,Bezoekers,,,,Open 24/7,,,,
28,Stalling,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
29,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
29,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
29,Stalling_3,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
30,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
30,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
31,Stalling_1,JA,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
31,Stalling_2,JA,Fietskluis,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
31,Stalling_3,JA,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
31,Stalling_4,JA,Openbare Fietsenstalling,1,Yes,21,Pendelaars,,,,Open 24/7,,,,
32,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
32,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
32,Stalling_3,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
33,Stalling_1,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
33,Stalling_2,NEE,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
34,Stalling,JA,Openbare Fietsenstalling,1,Yes,,Iedereen,,,,Open 24/7,,,,
